"key","es","en"
"b_play","JUGAR","PLAY"
"b_creditos","CRÉDITOS","CREDITS"
"t_settings","OPCIONES","SETTINGS"
"t_language","Idioma: ","Language: "
"t_soundeffects","Efectos sonido: ","Sound effects: "
"t_music","Música: ","Music: "
"b_store","TIENDA","STORE"
"t_level","Nivel","Level"
"t_needMoreStars","No tienes suficientes estrellas","You don't have enough stars"
"t_levelsComingSoon","Más niveles dentro de muy poco...","More levels coming soon..."
"confirm_purchase","¿Desea realizar compra?","Would you like to purchase?"
"t_confirm","Confirmar","Confirm"
"t_cancel","Cancelar","Cancel"
"thanks_purchase","Gracias por su compra","Thanks for your purchase"
"b_back_store","Volver","Back"
"t_yes","Sí","Yes"
"t_no","No","No"
"t_pause","PAUSA","PAUSE"
"t_resume","Reanudar","Resume"
"t_exitConfirmation","¿Quieres volver al menú?                 Pederás el progreso de este nivel.","Do you want to go back to the main menu?                                                      You will lose this level's progress."
"t_undo","Deshacer","Undo"
"t_menu","Menú","Menu"
"t_moves","movimientos","moves"
"t_bestMov","Mejor :","Best :"
"t_undoLastQuestion","¿Deshacer último movimiento?","Undo last move?"
"t_youCanStillUndo","Todavía puedes deshacer :","You can still undo :"
"t_levelCompleted","¡Nivel Completado!","Level Completed!"
"t_gameOver","¡Fin de Partida!","Game Over!"
"t_notAbleCompleteLevel","No has logrado superar el nivel","You haven't been able to complete this level"
"t_noMoves","Te has quedado sin movimientos","You run out of moves"
"t_enemyAttack","Has sido alcanzado por el enemigo","You have been reached by the enemies"
"b_saltarTutorial","Saltar tutorial","Skip tutorial"